"x(20), created by Plot Digitizer, 2.4.1"
"Date: 6/14/11, 5:07:44 PM"


37
20,x
8.88889E+0
6.46465E+0
4.44444E+0
3.93939E+0
2.32323E+0
2.27273E+0
2.07071E+0

9.19192E+0
6.81818E+0
4.94949E+0
4.34343E+0
2.57576E+0
2.37374E+0
2.22222E+0

1.50505E+1
1.38384E+1
1.17172E+1
9.89899E+0
6.41414E+0
5.30303E+0
5.35354E+0

1.56061E+1
1.49495E+1
1.29293E+1
1.09091E+1
6.41414E+0
5.75758E+0
6.06061E+0

1.62626E+1
1.42424E+1
1.46465E+1
1.27273E+1
1.26263E+1

1.66667E+1
1.53030E+1
1.59596E+1
1.41414E+1
13.08081
